"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","Concentration","Dried.down"
"1","11162",11162,NA,NA,NA,NA,"blue-ANT",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 13953, 72898, 88254",NA,NA,NA,"NA - not humpback",NA,NA,NA
"2","17317",17317,NA,NA,NA,NA,"blue-NATL",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"If this doesn't work, we'll spli the ENP/ESP into separate strata",NA,NA,NA,"NA - not humpback",NA,NA,NA
"3","42288",42288,NA,NA,NA,NA,"blue-IO",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 42297, 23998, 42288",NA,NA,NA,"NA - not humpback",NA,NA,NA
"4","25439",25439,NA,NA,NA,NA,"blue-ENP/ESP",NA,NA,NA,NA,"Blue",NA,"x",NA,NA,NA,NA,NA,"Replacements: 90563, 25439, 66695, 11158, 11161, 11151, 11152",NA,NA,NA,"NA - not humpback",NA,NA,NA
"5","9880",9880,NA,NA,NA,NA,"brydes",NA,NA,NA,NA,"brydes",NA,"x",3.25,73.583333,1998,"BIOPSY-M/V GIRITY",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA
"6","30424",30424,NA,NA,NA,NA,"brydes","F",NA,NA,NA,"brydes",NA,"x",28.916666,-175.55,2002,"BIOPSY-SWFSC-HICEAS",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA
"7","32258",32258,NA,NA,NA,NA,"brydes","M",NA,NA,NA,"brydes",NA,"x",33.916666,-78.216666,2003,"STRAND-NC-UNCW",NA,"bonus",NA,NA,NA,"NA - not a humpback",NA,NA,NA
"8","187906",187906,NA,NA,NA,NA,"CentAm","F","Aminus",NA,NA,"CentAm",NA,"x",37.6087,-123.0883,2017,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"FIBB",187906,10.0172,""
"9","29829",29829,NA,NA,NA,"CentAm","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",44.25,-124.55,2002,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",29829,24.05,""
"10","45332",45332,NA,NA,NA,"CentAm","CentAm","M","E1","MnMito08","mito","CentAm",NA,"x",34.933333,-120.733333,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",45332,136.898,""
"11","45342",45342,NA,NA,NA,"MixMB","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",37.266666,-122.6,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Nico, FIBB",45342,55.6949,""
"12","45370",45370,"56399",108479,196745,"CentAm","CentAm","F","E1","MnMito08","mito","CentAm",NA,"x",35.266666,-121,2004,"BIOPSY-CASCADIA","John",NA,"3-Nov-21","Yes, collaborator",NA,"Cascadia match pre-HW",56399,379.83,""
"13","51185",51185,NA,NA,NA,NA,"CentAm","M","E1",NA,NA,"CentAm",NA,"x",37.2,-124.05,2005,"BIOPSY-SWFSC-CSCAPE","Karin",NA,"2-Nov-21","2-Nov-21",NA,"Nico, FIBB",51185,61.6518,""
"14","51380",51380,NA,NA,NA,"MixSM","CentAm","M","E1","MnMito08","mito","CentAm",NA,"x",34.166666,-120.85,2005,"BIOPSY-SWFSC-CSCAPE","Karin",NA,"2-Nov-21","2-Nov-21",NA,"FIBB",51380,31.13,""
