,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
440,29863,GTseek_022_384i5_016_PLT_2_29863,39081,10004,25.6,50.78,0.54,z0029863_Mnov_GTseek_022_016_PLT_2.fastq
497,196833,GTseek_025_384i5_307_PLT_5_196833,39267,10039,25.57,61.72,1.23,z0196833_Mnov_GTseek_025_307_PLT_5.fastq
810,40439,GTseek_030_384i5_207_Mnov_H01_pasted,76668,10089,13.16,63.45,0.72,z0040439_Mnov_GTseek_030_207_POS_H01.fastq
466,196709,GTseek_024_384i5_333_PLT_4_196709,107261,10178,9.49,57.03,1.34,z0196709_Mnov_GTseek_024_333_PLT_4.fastq
496,196723,GTseek_024_384i5_351_PLT_4_196723,39325,10229,26.01,61.72,0.5,z0196723_Mnov_GTseek_024_351_PLT_4.fastq
483,196762,GTseek_025_384i5_243_PLT_5_196762,50726,10257,20.22,59.38,2.03,z0196762_Mnov_GTseek_025_243_PLT_5.fastq
506,195782,GTseek_024_384i5_319_PLT_4_195782,65390,10310,15.77,64.32,1.29,z0195782_Mnov_GTseek_024_319_PLT_4.fastq
493,196726,GTseek_024_384i5_357_PLT_4_196726,44966,10367,23.06,61.2,0.91,z0196726_Mnov_GTseek_024_357_PLT_4.fastq
486,196823,GTseek_025_384i5_291_PLT_5_196823,61162,10401,17.01,59.9,2.01,z0196823_Mnov_GTseek_025_291_PLT_5.fastq
479,196773,GTseek_025_384i5_259_PLT_5_196773,57377,10474,18.25,59.11,0.98,z0196773_Mnov_GTseek_025_259_PLT_5.fastq
473,196777,GTseek_025_384i5_263_PLT_5_196777,48778,10484,21.49,57.81,0.83,z0196777_Mnov_GTseek_025_263_PLT_5.fastq
489,195748,GTseek_024_384i5_263_PLT_4_195748,71069,10504,14.78,60.68,1.44,z0195748_Mnov_GTseek_024_263_PLT_4.fastq
452,175378,GTseek_028_384i5_069_PLT_8_175378,42056,10566,25.12,53.12,0.72,z0175378_Mnov_GTseek_028_069_PLT_8.fastq
463,56337,GTseek_029_384i5_101_PLT_9_56337,63374,10595,16.72,56.51,0.61,z0056337_Mnov_GTseek_029_101_PLT_9.fastq
514,196742,GTseek_025_384i5_207_PLT_5_196742,27580,10646,38.6,65.62,0.54,z0196742_Mnov_GTseek_025_207_PLT_5.fastq
511,196839,GTseek_025_384i5_311_PLT_5_196839,18384,10681,58.1,64.84,0.39,z0196839_Mnov_GTseek_025_311_PLT_5.fastq
631,56095,GTseek_029_384i5_187_PLT_9_56095,29720,10726,36.09,78.39,0.61,z0056095_Mnov_GTseek_029_187_PLT_9.fastq
458,40308,GTseek_029_384i5_001_PLT_9_40308,33612,10750,31.98,55.21,0.85,z0040308_Mnov_GTseek_029_001_PLT_9.fastq
498,196848,GTseek_025_384i5_327_PLT_5_196848,54649,10870,19.89,61.72,0.58,z0196848_Mnov_GTseek_025_327_PLT_5.fastq
449,45720,GTseek_027_384i5_081_PLT_7_45720,128151,10923,8.52,52.34,0.97,z0045720_Mnov_GTseek_027_081_PLT_7.fastq
2810,53083,GTseek_030_384i5_245_Mnov_C04_pasted,79020,10953,13.86,67.36,0.81,z0053083_Mnov_GTseek_030_245_POS_C04.fastq
761,196733,GTseek_030_384i5_339_Mnov_B10_pasted,75485,11013,14.59,61.61,1.21,z0196733_Mnov_GTseek_030_339_POS_B10.fastq
504,61969,GTseek_022_384i5_112_PLT_2_61969,102986,11061,10.74,63.8,1.17,z0061969_Mnov_GTseek_022_112_PLT_2.fastq
518,196718,GTseek_024_384i5_345_PLT_4_196718,67917,11101,16.34,65.89,0.33,z0196718_Mnov_GTseek_024_345_PLT_4.fastq
485,196687,GTseek_023_384i5_058_PLT_3_196687,146199,11177,7.65,59.9,0.61,z0196687_Mnov_GTseek_023_058_PLT_3.fastq
470,41243,GTseek_026_384i5_067_PLT_6_41243,40726,11191,27.48,57.29,0.94,z0041243_Mnov_GTseek_026_067_PLT_6.fastq
871,196834,GTseek_030_384i5_361_Mnov_E11_pasted,80606,11233,13.94,63.45,0.92,z0196834_Mnov_GTseek_030_361_POS_E11.fastq
831,196783,GTseek_030_384i5_353_Mnov_A11_pasted,82822,11249,13.58,67.59,0.66,z0196783_Mnov_GTseek_030_353_POS_A11.fastq
510,108480,GTseek_023_384i5_040_PLT_3_108480,56472,11256,19.93,64.84,0.98,z0108480_Mnov_GTseek_023_040_PLT_3.fastq
771,196734,GTseek_030_384i5_341_Mnov_C10_pasted,83818,11361,13.55,66.9,1.05,z0196734_Mnov_GTseek_030_341_POS_C10.fastq
482,196727,GTseek_024_384i5_359_PLT_4_196727,113504,11407,10.05,59.38,0.99,z0196727_Mnov_GTseek_024_359_PLT_4.fastq
508,195717,GTseek_024_384i5_215_PLT_4_195717,88135,11416,12.95,64.58,0.89,z0195717_Mnov_GTseek_024_215_PLT_4.fastq
499,196824,GTseek_025_384i5_293_PLT_5_196824,61930,11438,18.47,61.98,0.81,z0196824_Mnov_GTseek_025_293_PLT_5.fastq
447,45733,GTseek_027_384i5_087_PLT_7_45733,101430,11475,11.31,52.08,0.26,z0045733_Mnov_GTseek_027_087_PLT_7.fastq
459,43566,GTseek_026_384i5_141_PLT_6_43566,35970,11513,32.01,55.47,0.34,z0043566_Mnov_GTseek_026_141_PLT_6.fastq
