LABID,Raw.Reads,On.Target.Reads,dupe,success,,,,,
53021,2182,0,1,FALSE,,At least,Less than,,
51328,2413,0,1,FALSE,,0,0,2,
55928,1114,1,1,FALSE,,1,100,187,
16577,1437,1,1,FALSE,,101,500,94,
46925,1125,1,1,FALSE,,501,10000,194,
44056,7125,1,1,FALSE,,10001,19999,110,
51399,1001,1,1,FALSE,,,,,
45710,1547,1,1,FALSE,,,,,
16578,497,2,1,FALSE,,,,,
51906,6270,2,1,FALSE,,,,,
53845,40480,2,1,FALSE,,,,,
46927,1405,2,1,FALSE,,,,,
44432,243,3,1,FALSE,,,,,
45342,364,3,1,FALSE,,,,,
51879,2288,3,1,FALSE,,,,,
51918,3148,3,1,FALSE,,,,,
51381,3498,3,1,FALSE,,,,,
44047,23400,3,1,FALSE,,,,,
56044,371,3,1,FALSE,,,,,
56074,3268,3,1,FALSE,,,,,
56001,2847,3,1,FALSE,,,,,
29829,366,4,1,FALSE,,,,,
45350,25534,4,1,FALSE,,,,,
45317,8134,4,1,FALSE,,,,,
45401,3532,4,1,FALSE,,,,,
56393,2963,4,1,FALSE,,,,,
41115,748,4,1,FALSE,,,,,
43905,5971,4,1,FALSE,,,,,
51404,2366,4,1,FALSE,,,,,
45399,6575,5,1,FALSE,,,,,
51888,11782,5,1,FALSE,,,,,
43627,763,5,1,FALSE,,,,,
44044,4096,5,1,FALSE,,,,,
117063,806,5,1,FALSE,,,,,
55915,2677,6,1,FALSE,,,,,
29865,178,6,1,FALSE,,,,,
37607,1312,6,1,FALSE,,,,,
45331,2700,6,1,FALSE,,,,,
51875,3897,6,1,FALSE,,,,,
61976,3596,6,1,FALSE,,,,,
101085,1570,6,1,FALSE,,,,,
46929,2457,6,1,FALSE,,,,,
46934,3603,6,1,FALSE,,,,,
51428,15676,6,1,FALSE,,,,,
53756,12480,6,1,FALSE,,,,,
7446,4148,6,1,FALSE,,,,,
53051,1076,7,1,FALSE,,,,,
45405,5082,7,1,FALSE,,,,,
61978,904,7,1,FALSE,,,,,
56052,335,7,1,FALSE,,,,,
56392,29592,8,2,FALSE,,,,,
56396,29934,8,1,FALSE,,,,,
51945,7900,8,2,FALSE,,,,,
175364,1444,8,1,FALSE,,,,,
43747,5268,8,1,FALSE,,,,,
43807,1539,8,1,FALSE,,,,,
43915,2454,8,1,FALSE,,,,,
51447,5118,8,1,FALSE,,,,,
43954,12234,9,1,FALSE,,,,,
5757,712,9,1,FALSE,,,,,
29831,9096,10,1,FALSE,,,,,
51895,8550,10,1,FALSE,,,,,
51966,13597,10,2,FALSE,,,,,
101101,55285,10,1,FALSE,,,,,
175371,22391,10,1,FALSE,,,,,
53757,8646,10,1,FALSE,,,,,
40377,342,10,1,FALSE,,,,,
53054,951,11,1,FALSE,,,,,
37611,11533,11,1,FALSE,,,,,
45344,3877,11,1,FALSE,,,,,
56391,165,11,1,FALSE,,,,,
51326,3998,11,1,FALSE,,,,,
46923,5063,11,1,FALSE,,,,,
43678,881,11,1,FALSE,,,,,
47602,2111,11,1,FALSE,,,,,
43979,21455,12,1,FALSE,,,,,
45407,60147,15,1,FALSE,,,,,
107078,3043,15,1,FALSE,,,,,
56100,716,15,1,FALSE,,,,,
56110,6023,15,1,FALSE,,,,,
55959,6971,15,1,FALSE,,,,,
143977,940,16,1,FALSE,,,,,
45742,51770,17,1,FALSE,,,,,
43994,13288,18,1,FALSE,,,,,
47601,7715,19,1,FALSE,,,,,
43278,2059,20,1,FALSE,,,,,
197682,3439,22,1,FALSE,,,,,
44074,4230,23,1,FALSE,,,,,
5758,13239,23,1,FALSE,,,,,
55895,6606,24,1,FALSE,,,,,
53097,12794,25,1,FALSE,,,,,
29867,5905,25,1,FALSE,,,,,
195660,644,25,1,FALSE,,,,,
195668,2816,26,1,FALSE,,,,,
196888,6658,26,1,FALSE,,,,,
43877,5184,26,1,FALSE,,,,,
195659,1407,29,1,FALSE,,,,,
197666,6823,29,1,FALSE,,,,,
43267,3847,30,1,FALSE,,,,,
196887,4352,31,1,FALSE,,,,,
29861,6135,32,2,FALSE,,,,,
51968,9817,34,1,FALSE,,,,,
43468,2043,34,1,FALSE,,,,,
43650,2277,34,1,FALSE,,,,,
47613,8768,35,1,FALSE,,,,,
43631,1898,37,1,FALSE,,,,,
175354,14869,38,1,FALSE,,,,,
146094,612,39,1,FALSE,,,,,
43494,4452,40,1,FALSE,,,,,
43513,2119,40,1,FALSE,,,,,
43684,2015,40,1,FALSE,,,,,
68566,1240,41,1,FALSE,,,,,
43789,1978,41,1,FALSE,,,,,
43640,1193,43,1,FALSE,,,,,
56104,6269,44,1,FALSE,,,,,
40961,1401,44,1,FALSE,,,,,
40960,3880,45,1,FALSE,,,,,
187859,2953,46,1,FALSE,,,,,
113620,834,46,1,FALSE,,,,,
56066,5520,46,1,FALSE,,,,,
43716,2684,47,1,FALSE,,,,,
41514,6117,47,1,FALSE,,,,,
195776,41887,50,1,FALSE,,,,,
43498,3377,50,1,FALSE,,,,,
195652,64212,51,1,FALSE,,,,,
195775,10518,51,1,FALSE,,,,,
45739,24045,51,1,FALSE,,,,,
196721,50712,52,1,FALSE,,,,,
43898,9039,53,1,FALSE,,,,,
195646,3114,55,1,FALSE,,,,,
51932,17734,55,1,FALSE,,,,,
146081,179,55,1,FALSE,,,,,
61527,2164,56,1,FALSE,,,,,
75691,570,56,1,FALSE,,,,,
195661,10637,58,1,FALSE,,,,,
195787,6487,58,1,FALSE,,,,,
108473,22774,59,1,FALSE,,,,,
43652,7130,59,1,FALSE,,,,,
195258,30431,60,1,FALSE,,,,,
195734,3401,61,1,FALSE,,,,,
51885,22069,61,1,FALSE,,,,,
146087,594,61,1,FALSE,,,,,
