"","locus","fwd","rev","ratio"
"1","Mnov_gtseq_1",591,682,1.15397631133672
"2","Mnov_gtseq_10",316,1294,4.09493670886076
"3","Mnov_gtseq_102",128,761,5.9453125
"4","Mnov_gtseq_104",124,351,2.83064516129032
"5","Mnov_gtseq_106",108,50,2.16
"6","Mnov_gtseq_107",34,320,9.41176470588235
"7","Mnov_gtseq_108",7,33,4.71428571428571
"8","Mnov_gtseq_110",127,193,1.51968503937008
"9","Mnov_gtseq_111",50,20,2.5
"10","Mnov_gtseq_112",75,4,18.75
"11","Mnov_gtseq_113",212,230,1.08490566037736
"12","Mnov_gtseq_114",6,29,4.83333333333333
"13","Mnov_gtseq_115",126,121,1.04132231404959
"14","Mnov_gtseq_116",148,33,4.48484848484848
"15","Mnov_gtseq_117",48,46,1.04347826086957
"16","Mnov_gtseq_118",8,5,1.6
"17","Mnov_gtseq_12",583,15,38.8666666666667
"18","Mnov_gtseq_124",195,203,1.04102564102564
"19","Mnov_gtseq_125",279,272,1.02573529411765
"20","Mnov_gtseq_126",223,693,3.10762331838565
"21","Mnov_gtseq_127",199,296,1.48743718592965
"22","Mnov_gtseq_128",74,60,1.23333333333333
"23","Mnov_gtseq_129",32,30,1.06666666666667
"24","Mnov_gtseq_13",617,832,1.3484602917342
"25","Mnov_gtseq_130",89,349,3.92134831460674
"26","Mnov_gtseq_134",0,15,Inf
"27","Mnov_gtseq_135",71,63,1.12698412698413
"28","Mnov_gtseq_137",4,4,1
"29","Mnov_gtseq_138",321,320,1.003125
"30","Mnov_gtseq_139",23,63,2.73913043478261
"31","Mnov_gtseq_140",1866,254,7.34645669291339
"32","Mnov_gtseq_141",379,677,1.78627968337731
"33","Mnov_gtseq_143",485,113,4.29203539823009
"34","Mnov_gtseq_144",19,151,7.94736842105263
"35","Mnov_gtseq_145",4,2,2
"36","Mnov_gtseq_146",5,4,1.25
"37","Mnov_gtseq_147",16,26,1.625
"38","Mnov_gtseq_148",64,561,8.765625
"39","Mnov_gtseq_149",90,89,1.01123595505618
"40","Mnov_gtseq_15",127,83,1.53012048192771
"41","Mnov_gtseq_151",36,36,1
"42","Mnov_gtseq_152",318,258,1.23255813953488
"43","Mnov_gtseq_154",141,136,1.03676470588235
"44","Mnov_gtseq_155",280,134,2.08955223880597
"45","Mnov_gtseq_156",340,172,1.97674418604651
"46","Mnov_gtseq_157",1152,76,15.1578947368421
"47","Mnov_gtseq_158",577,357,1.61624649859944
"48","Mnov_gtseq_159",360,2848,7.91111111111111
"49","Mnov_gtseq_16",256,235,1.08936170212766
"50","Mnov_gtseq_160",95,17,5.58823529411765
"51","Mnov_gtseq_161",172,311,1.80813953488372
"52","Mnov_gtseq_162",295,286,1.03146853146853
"53","Mnov_gtseq_166",97,294,3.03092783505155
"54","Mnov_gtseq_167",196,81,2.41975308641975
"55","Mnov_gtseq_168",1,1,1
"56","Mnov_gtseq_17",324,318,1.0188679245283
"57","Mnov_gtseq_170",4202,392,10.719387755102
"58","Mnov_gtseq_171",34,29,1.17241379310345
"59","Mnov_gtseq_173",1,13,13
"60","Mnov_gtseq_174",468,325,1.44
"61","Mnov_gtseq_177",4,3,1.33333333333333
"62","Mnov_gtseq_178",24,31,1.29166666666667
"63","Mnov_gtseq_180",15,26,1.73333333333333
"64","Mnov_gtseq_181",8,18,2.25
"65","Mnov_gtseq_182",79,95,1.20253164556962
"66","Mnov_gtseq_186",5,6,1.2
"67","Mnov_gtseq_187",2,32,16
"68","Mnov_gtseq_188",22,27,1.22727272727273
"69","Mnov_gtseq_189",2963,27,109.740740740741
"70","Mnov_gtseq_19",367,189,1.94179894179894
"71","Mnov_gtseq_190",523,495,1.05656565656566
"72","Mnov_gtseq_191",4,10,2.5
"73","Mnov_gtseq_192",214,750,3.50467289719626
"74","Mnov_gtseq_193",2896,480,6.03333333333333
"75","Mnov_gtseq_195",232,111,2.09009009009009
"76","Mnov_gtseq_196",366,326,1.12269938650307
"77","Mnov_gtseq_197",454,340,1.33529411764706
"78","Mnov_gtseq_2",174,580,3.33333333333333
"79","Mnov_gtseq_20",28,34,1.21428571428571
"80","Mnov_gtseq_200",101,453,4.48514851485149
"81","Mnov_gtseq_201",200,309,1.545
"82","Mnov_gtseq_202",226,202,1.11881188118812
"83","Mnov_gtseq_203",181,596,3.29281767955801
"84","Mnov_gtseq_204",103,112,1.0873786407767
"85","Mnov_gtseq_205",488,476,1.02521008403361
"86","Mnov_gtseq_206",345,346,1.00289855072464
"87","Mnov_gtseq_208",126,167,1.32539682539683
"88","Mnov_gtseq_209",212,190,1.11578947368421
"89","Mnov_gtseq_21",731,717,1.01952580195258
"90","Mnov_gtseq_210",64,38,1.68421052631579
"91","Mnov_gtseq_211",541,190,2.84736842105263
"92","Mnov_gtseq_213",119,126,1.05882352941176
"93","Mnov_gtseq_214",101,54,1.87037037037037
"94","Mnov_gtseq_215",336,316,1.06329113924051
"95","Mnov_gtseq_216",100,451,4.51
"96","Mnov_gtseq_217",35,29,1.20689655172414
"97","Mnov_gtseq_218",257,231,1.11255411255411
"98","Mnov_gtseq_219",2033,1804,1.12694013303769
"99","Mnov_gtseq_22",26,38,1.46153846153846
"100","Mnov_gtseq_220",1108,181,6.12154696132597
"101","Mnov_gtseq_222",60,56,1.07142857142857
"102","Mnov_gtseq_223",142,121,1.17355371900826
"103","Mnov_gtseq_224",215,242,1.12558139534884
"104","Mnov_gtseq_225",411,733,1.78345498783455
"105","Mnov_gtseq_227",30,20,1.5
"106","Mnov_gtseq_228",413,21,19.6666666666667
"107","Mnov_gtseq_229",198,187,1.05882352941176
"108","Mnov_gtseq_23",340,265,1.28301886792453
"109","Mnov_gtseq_230",119,115,1.03478260869565
"110","Mnov_gtseq_231",987,53,18.622641509434
