"","locus","fwd","rev","ratio"
"1","Mnov_gtseq_1",530,548,1.03396226415094
"2","Mnov_gtseq_10",349,345,1.01159420289855
"3","Mnov_gtseq_102",167,967,5.79041916167665
"4","Mnov_gtseq_104",637,716,1.12401883830455
"5","Mnov_gtseq_106",64,35,1.82857142857143
"6","Mnov_gtseq_107",24,54,2.25
"7","Mnov_gtseq_108",3,8,2.66666666666667
"8","Mnov_gtseq_110",17,25,1.47058823529412
"9","Mnov_gtseq_111",19,6,3.16666666666667
"10","Mnov_gtseq_112",83,65,1.27692307692308
"11","Mnov_gtseq_113",135,141,1.04444444444444
"12","Mnov_gtseq_114",61,59,1.03389830508475
"13","Mnov_gtseq_115",18,19,1.05555555555556
"14","Mnov_gtseq_116",16,7,2.28571428571429
"15","Mnov_gtseq_117",16,16,1
"16","Mnov_gtseq_118",24,25,1.04166666666667
"17","Mnov_gtseq_12",247,234,1.05555555555556
"18","Mnov_gtseq_124",23,24,1.04347826086957
"19","Mnov_gtseq_125",50,55,1.1
"20","Mnov_gtseq_126",382,540,1.41361256544503
"21","Mnov_gtseq_127",27,43,1.59259259259259
"22","Mnov_gtseq_128",6,7,1.16666666666667
"23","Mnov_gtseq_129",46,42,1.0952380952381
"24","Mnov_gtseq_13",227,286,1.25991189427313
"25","Mnov_gtseq_130",10,10,1
"26","Mnov_gtseq_134",5,5,1
"27","Mnov_gtseq_135",106,108,1.0188679245283
"28","Mnov_gtseq_137",1,0,Inf
"29","Mnov_gtseq_138",190,194,1.02105263157895
"30","Mnov_gtseq_139",85,48,1.77083333333333
"31","Mnov_gtseq_140",655,548,1.19525547445255
"32","Mnov_gtseq_141",292,294,1.00684931506849
"33","Mnov_gtseq_143",1318,245,5.37959183673469
"34","Mnov_gtseq_144",47,50,1.06382978723404
"35","Mnov_gtseq_145",82,80,1.025
"36","Mnov_gtseq_146",1,1,1
"37","Mnov_gtseq_147",30,18,1.66666666666667
"38","Mnov_gtseq_148",25,39,1.56
"39","Mnov_gtseq_149",107,110,1.02803738317757
"40","Mnov_gtseq_15",358,330,1.08484848484848
"41","Mnov_gtseq_151",122,113,1.07964601769911
"42","Mnov_gtseq_152",147,123,1.19512195121951
"43","Mnov_gtseq_154",38,37,1.02702702702703
"44","Mnov_gtseq_155",224,172,1.30232558139535
"45","Mnov_gtseq_156",111,62,1.79032258064516
"46","Mnov_gtseq_157",546,188,2.90425531914894
"47","Mnov_gtseq_158",388,319,1.21630094043887
"48","Mnov_gtseq_159",83,605,7.28915662650602
"49","Mnov_gtseq_16",411,405,1.01481481481481
"50","Mnov_gtseq_160",89,76,1.17105263157895
"51","Mnov_gtseq_161",263,217,1.21198156682028
"52","Mnov_gtseq_162",239,218,1.09633027522936
"53","Mnov_gtseq_166",116,132,1.13793103448276
