"","Sample","fwd","rev","tot.reads"
"1","133302_S784_L001_R1_001.fastq.gz",3258,3478,4921
"2","187857_S785_L001_R1_001.fastq.gz",6082,6043,8050
"3","195776_S786_L001_R1_001.fastq.gz",722,846,1584
"4","195777_S787_L001_R1_001.fastq.gz",4439,4682,6199
"5","195777b_S792_L001_R1_001.fastq.gz",2857,2877,4412
"6","196887_S788_L001_R1_001.fastq.gz",10834,11151,13424
"7","197665_S789_L001_R1_001.fastq.gz",10933,11174,13620
"8","197682_S790_L001_R1_001.fastq.gz",97,165,420
"9","37609_S769_L001_R1_001.fastq.gz",10729,7591,21668
"10","40513_S770_L001_R1_001.fastq.gz",9187,9481,11321
"11","41051_S771_L001_R1_001.fastq.gz",7187,6946,10453
"12","43475_S772_L001_R1_001.fastq.gz",22,27,46
"13","43498_S779_L001_R1_001.fastq.gz",4927,5160,6647
"14","43839_S773_L001_R1_001.fastq.gz",5808,5846,7486
"15","43979_S774_L001_R1_001.fastq.gz",458,646,1469
"16","43979b_S791_L001_R1_001.fastq.gz",499,656,1477
"17","43980_S775_L001_R1_001.fastq.gz",13384,13452,16605
"18","44432_S776_L001_R1_001.fastq.gz",2865,2797,5730
"19","45331_S777_L001_R1_001.fastq.gz",26858,26674,32078
"20","47854_S778_L001_R1_001.fastq.gz",13730,13782,17721
"21","53100_S780_L001_R1_001.fastq.gz",11611,11800,13994
"22","55931_S781_L001_R1_001.fastq.gz",19749,19210,24933
"23","56392_S782_L001_R1_001.fastq.gz",663,878,1861
"24","75696_S783_L001_R1_001.fastq.gz",1604,1675,3044
