"","LABID","new.fname","Sample","well","plate"
"1","z0005758","z0005758_Mnov_GTseek_022_002_PLT_2_R1.fastq","GTseek_022_384i5_002_PLT_2_5758_R1.fastq","002","2"
"2","z0005758","z0005758_Mnov_GTseek_022_002_PLT_2_R2.fastq","GTseek_022_384i5_002_PLT_2_5758_R2.fastq","002","2"
"3","z0016577","z0016577_Mnov_GTseek_022_004_PLT_2_R1.fastq","GTseek_022_384i5_004_PLT_2_16577_R1.fastq","004","2"
"4","z0016577","z0016577_Mnov_GTseek_022_004_PLT_2_R2.fastq","GTseek_022_384i5_004_PLT_2_16577_R2.fastq","004","2"
"5","z0016578","z0016578_Mnov_GTseek_022_006_PLT_2_R1.fastq","GTseek_022_384i5_006_PLT_2_16578_R1.fastq","006","2"
"6","z0016578","z0016578_Mnov_GTseek_022_006_PLT_2_R2.fastq","GTseek_022_384i5_006_PLT_2_16578_R2.fastq","006","2"
"7","z0029829","z0029829_Mnov_GTseek_022_008_PLT_2_R1.fastq","GTseek_022_384i5_008_PLT_2_29829_R1.fastq","008","2"
"8","z0029829","z0029829_Mnov_GTseek_022_008_PLT_2_R2.fastq","GTseek_022_384i5_008_PLT_2_29829_R2.fastq","008","2"
"9","z0029831","z0029831_Mnov_GTseek_022_010_PLT_2_R1.fastq","GTseek_022_384i5_010_PLT_2_29831_R1.fastq","010","2"
"10","z0029831","z0029831_Mnov_GTseek_022_010_PLT_2_R2.fastq","GTseek_022_384i5_010_PLT_2_29831_R2.fastq","010","2"
"11","z0029860","z0029860_Mnov_GTseek_022_012_PLT_2_R1.fastq","GTseek_022_384i5_012_PLT_2_29860_R1.fastq","012","2"
"12","z0029860","z0029860_Mnov_GTseek_022_012_PLT_2_R2.fastq","GTseek_022_384i5_012_PLT_2_29860_R2.fastq","012","2"
"13","z0029861","z0029861_Mnov_GTseek_022_014_PLT_2_R1.fastq","GTseek_022_384i5_014_PLT_2_29861_R1.fastq","014","2"
"14","z0029861","z0029861_Mnov_GTseek_022_014_PLT_2_R2.fastq","GTseek_022_384i5_014_PLT_2_29861_R2.fastq","014","2"
"15","z0029863","z0029863_Mnov_GTseek_022_016_PLT_2_R1.fastq","GTseek_022_384i5_016_PLT_2_29863_R1.fastq","016","2"
"16","z0029863","z0029863_Mnov_GTseek_022_016_PLT_2_R2.fastq","GTseek_022_384i5_016_PLT_2_29863_R2.fastq","016","2"
"17","z0029865","z0029865_Mnov_GTseek_022_018_PLT_2_R1.fastq","GTseek_022_384i5_018_PLT_2_29865_R1.fastq","018","2"
"18","z0029865","z0029865_Mnov_GTseek_022_018_PLT_2_R2.fastq","GTseek_022_384i5_018_PLT_2_29865_R2.fastq","018","2"
"19","z0029866","z0029866_Mnov_GTseek_022_020_PLT_2_R1.fastq","GTseek_022_384i5_020_PLT_2_29866_R1.fastq","020","2"
